latitude,longitude,censo_2022_estabelecimento_outras_finalidades_poi_counts,censo_2022_domicilio_particular_poi_counts,censo_2022_estabelecimento_construcao_poi_counts,censo_2022_estabelecimento_religioso_poi_counts,censo_2022_estabelecimento_ensino_poi_counts,censo_2022_estabelecimento_saude_poi_counts,censo_2022_domicilio_coletivo_poi_counts,censo_2022_estabelecimento_agro_poi_counts
-20.268354,-50.467472,0,3,0,0,0,0,0,2
-20.344687,-50.54437,0,2,0,0,0,0,0,1
-20.28672,-50.587917,0,8,0,0,0,0,0,5
-20.269049,-50.555508,198,1383,42,3,0,43,1,0
-20.358639,-50.51041,0,0,0,0,0,0,0,0
-20.3725,-50.527946,0,3,0,0,0,0,0,1
-20.321266,-50.646286,0,8,0,1,1,0,0,2
-20.206676,-50.578392,0,8,0,0,0,0,0,4
-20.269007,-50.537056,183,1549,21,6,6,2,0,0
-20.347464,-50.618008,0,3,0,0,0,0,0,3
-20.185987,-50.573463,0,8,0,0,0,0,0,5
-20.251171,-50.54925,29,1134,54,1,0,1,0,1
-20.285257,-50.557953,21,585,21,1,1,0,1,1
-20.229992,-50.552402,0,9,1,0,0,0,0,3
-20.253693,-50.55128,106,972,40,2,4,1,0,1
-20.272163,-50.502087,0,16,1,0,0,0,0,10
-20.241646,-50.53883,0,10,0,0,0,0,0,6
-20.251154,-50.532337,2,2,0,0,0,0,0,1
-20.27616,-50.56929,5,87,2,0,0,0,0,6
-20.27189,-50.542454,484,1494,25,4,7,24,6,0
-20.262177,-50.550854,233,821,16,3,4,5,1,1
-20.322466,-50.498093,0,6,0,0,0,0,0,3
-20.354397,-50.571545,1,10,3,1,0,0,0,5
-20.16117,-50.56575,0,2,0,0,0,0,0,2
-20.396057,-50.60659,0,1,0,0,0,0,0,0
-20.303717,-50.531235,3,21,0,0,0,0,0,11
-20.297743,-50.58929,1,17,1,0,0,0,0,9
-20.20891,-50.526794,0,3,0,0,0,0,0,1
-20.308752,-50.64111,0,0,0,0,0,0,0,0
-20.270035,-50.508686,75,39,5,0,0,0,0,9
-20.256338,-50.55243,167,857,20,2,4,1,1,2
-20.294708,-50.55031,10,493,33,2,0,0,0,3
-20.28492,-50.537975,12,515,36,1,1,0,0,0
-20.279875,-50.528103,14,425,14,1,0,0,0,3
-20.253262,-50.535946,0,85,7,0,0,0,0,0
-20.262121,-50.540615,176,526,22,1,1,2,1,0
-20.251678,-50.527763,3,7,0,0,0,0,0,4
-20.27129,-50.537968,225,1862,28,7,7,2,0,0
-20.176086,-50.590557,0,2,0,0,0,0,0,3
-20.224312,-50.56292,0,0,0,0,0,0,0,0
-20.343025,-50.510387,0,4,0,0,0,0,0,2
-20.329285,-50.582256,0,8,0,0,0,0,0,3
-20.27193,-50.56702,14,556,17,1,0,0,0,5
-20.188385,-50.5549,0,6,0,0,0,0,0,0
-20.280836,-50.553223,75,1095,29,2,2,1,0,2
-20.243858,-50.55051,11,748,31,0,0,0,0,0
-20.255064,-50.54364,29,591,73,0,0,0,0,0
-20.239824,-50.513706,0,12,0,0,0,0,0,10
-20.2811,-50.545887,169,1461,21,8,2,4,0,0
-20.39576,-50.508278,0,1,0,0,0,0,0,1
-20.24666,-50.518597,1,5,1,0,0,0,0,4
-20.263277,-50.589996,0,12,1,0,0,0,0,8
-20.26701,-50.519737,21,146,10,1,0,0,0,2
-20.276098,-50.551167,314,1506,24,8,3,27,1,0
-20.348316,-50.50339,0,4,0,0,0,0,0,1
-20.266893,-50.541687,337,1042,27,3,6,5,3,0
-20.24992,-50.593403,4,8,0,0,0,0,0,7
-20.220291,-50.560757,0,1,0,0,0,0,0,0
-20.333189,-50.586014,0,1,0,0,0,0,0,3
-20.267002,-50.528748,170,927,13,5,1,0,1,0
-20.266869,-50.53156,245,978,15,7,3,1,0,0
-20.287933,-50.557922,16,509,16,1,1,0,1,1
-20.271646,-50.551422,806,1276,46,5,2,82,6,0
-20.333136,-50.60495,0,0,0,0,0,0,0,0
-20.274862,-50.55977,86,949,29,0,5,1,0,1
-20.34733,-50.535057,0,2,0,0,0,0,0,1
-20.326523,-50.564034,3,7,0,1,0,0,1,4
-20.267279,-50.531662,239,1091,15,8,3,1,0,0
-20.276077,-50.53034,40,1338,33,3,2,0,0,2
-20.277805,-50.5736,0,30,1,0,0,0,0,4
-20.284973,-50.540142,63,495,39,1,3,1,0,0
-20.309303,-50.551617,7,5,1,0,0,0,0,3
-20.288986,-50.546745,96,683,7,1,1,0,0,3
-20.199148,-50.555878,0,5,0,0,0,0,0,2
-20.303637,-50.531757,2,20,0,0,0,0,0,11
-20.29704,-50.568443,0,12,0,0,0,0,0,7
-20.28495,-50.47072,0,0,0,0,0,0,0,0
-20.270649,-50.5034,6,22,2,0,0,0,0,5
-20.26428,-50.546326,387,814,23,3,5,12,1,0
-20.37401,-50.52179,0,3,0,0,0,0,0,1
-20.342789,-50.61395,0,0,0,0,0,0,0,0
-20.27802,-50.47828,0,3,0,0,0,0,0,2
-20.253105,-50.534164,1,59,6,0,0,0,0,0
-20.251318,-50.592403,4,8,0,0,0,0,0,7
-20.29048,-50.47579,0,0,0,0,0,0,0,0
-20.33503,-50.572594,1,4,0,0,0,0,0,5
-20.262548,-50.55023,258,909,17,3,4,5,2,1
-20.27419,-50.559853,93,1070,32,1,5,1,0,0
-20.231138,-50.53758,2,11,1,0,0,0,0,8
-20.17562,-50.603584,0,20,0,0,0,0,0,13
-20.267916,-50.544926,895,1026,32,3,4,29,9,0
-20.32451,-50.650925,0,9,0,0,0,0,0,8
-20.150635,-50.57556,0,4,0,0,0,0,0,2
-20.251398,-50.591988,4,8,0,0,0,0,0,7
-20.279028,-50.54375,202,1349,18,9,2,8,0,0
-20.334911,-50.509865,0,4,0,0,0,0,0,3
-20.250473,-50.554035,46,932,6,2,1,2,0,4
-20.286953,-50.492474,0,4,0,0,0,0,0,2
-20.272999,-50.472824,0,2,0,0,0,0,0,2
-20.259298,-50.547325,235,830,31,1,4,1,0,0
-20.258366,-50.535736,79,194,25,1,0,0,0,0
-20.25878,-50.550163,255,938,23,2,4,1,1,2
-20.399233,-50.599228,0,0,0,0,0,0,0,0
-20.350483,-50.568645,0,2,1,0,0,0,0,2
-20.215921,-50.602818,0,15,1,0,0,0,0,12
-20.261646,-50.53223,146,188,32,1,0,1,0,0
-20.262499,-50.552235,184,745,15,2,4,5,1,2
-20.349638,-50.619396,0,3,0,0,0,0,0,3
